
genres,href,id,name,popularity,type,followers.total
[],https://api.spotify.com/v1/artists/4dz1AtHGFO1oTuVGbKz1PH,4dz1AtHGFO1oTuVGbKz1PH,Atlantis,12,artist,2
[],https://api.spotify.com/v1/artists/66bc1YwCOIqKEjh1hAb0IA,66bc1YwCOIqKEjh1hAb0IA,Atlantis,0,artist,0
[],https://api.spotify.com/v1/artists/0DvpenkYgTJgW08wQ7Rq4a,0DvpenkYgTJgW08wQ7Rq4a,Atlantis der versunkene Kontinent,3,artist,183
['dissonant death metal'],https://api.spotify.com/v1/artists/5YksM5fILg5LIjctxBfSrX,5YksM5fILg5LIjctxBfSrX,Vertebra Atlantis,10,artist,798
[],https://api.spotify.com/v1/artists/4bScvMi3JXhJn1dsNLGvr4,4bScvMi3JXhJn1dsNLGvr4,Atlantis,2,artist,0
['new mexico music'],https://api.spotify.com/v1/artists/6KYFel0WiwDfVjuo5pUMYu,6KYFel0WiwDfVjuo5pUMYu,Atlantis Cds,1,artist,94
[],https://api.spotify.com/v1/artists/7kdkMdIiwIgsiF3DHJfas5,7kdkMdIiwIgsiF3DHJfas5,Apartment Under Atlantis,6,artist,75
[],https://api.spotify.com/v1/artists/0lSC3Lb6NqQ00HUXx0B87q,0lSC3Lb6NqQ00HUXx0B87q,Atlantis,0,artist,48
[],https://api.spotify.com/v1/artists/0gNZEm43SM4kpSJBP7CzVx,0gNZEm43SM4kpSJBP7CzVx,Atlantis Rising,1,artist,12
[],https://api.spotify.com/v1/artists/754AHwBgRzi6frv9NuInwS,754AHwBgRzi6frv9NuInwS,Atlantis,0,artist,0
[],https://api.spotify.com/v1/artists/04DMyospdajDPheL8eLftO,04DMyospdajDPheL8eLftO,Champagne Atlantis,4,artist,163
[],https://api.spotify.com/v1/artists/2FBhJFf8WdKvyOs3bfVlgv,2FBhJFf8WdKvyOs3bfVlgv,Atlantis,0,artist,17
[],https://api.spotify.com/v1/artists/64ztNeZ6kvoC1fHVfCYblZ,64ztNeZ6kvoC1fHVfCYblZ,The Atlantis Trio,7,artist,43
"['bubblegum dance', 'candy pop', 'dance pop', 'europop', 'girl group']",https://api.spotify.com/v1/artists/6JMHws5haIO6V35YNYDnDw,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,63,artist,364092
"['dembow', 'dominican pop', 'rap dominicano', 'trap latino', 'urbano espanol']",https://api.spotify.com/v1/artists/05i5DIXDf4Ai4NEPEi3uBZ,05i5DIXDf4Ai4NEPEi3uBZ,Atomic Otro Way,63,artist,105826
['minneapolis indie'],https://api.spotify.com/v1/artists/0FnrtDOnCbJSgbBgQTjfgQ,0FnrtDOnCbJSgbBgQTjfgQ,Atomic Cafe,32,artist,2095
[],https://api.spotify.com/v1/artists/4LzLMRGejol2nWDb61fLws,4LzLMRGejol2nWDb61fLws,Atomic Drum Assembly,36,artist,6174
[],https://api.spotify.com/v1/artists/4rcAeGnWUBRTTLlh2DauQJ,4rcAeGnWUBRTTLlh2DauQJ,Atomic Blue,38,artist,2672
['stomp pop'],https://api.spotify.com/v1/artists/3HNbNrsIGbM7G63I7UNvze,3HNbNrsIGbM7G63I7UNvze,Atomic Tom,30,artist,6238
"['art rock', 'blues rock', 'british blues', 'german rock', 'hard rock', 'progressive rock', 'proto-metal', 'psychedelic blues-rock', 'psychedelic rock', 'symphonic rock']",https://api.spotify.com/v1/artists/6Ix7Hx8Af0jg9X4OfD9sYR,6Ix7Hx8Af0jg9X4OfD9sYR,Atomic Rooster,33,artist,54989
[],https://api.spotify.com/v1/artists/1ZU0n50pH91TKwIVUhJ0pR,1ZU0n50pH91TKwIVUhJ0pR,Atomica Music,23,artist,292
[],https://api.spotify.com/v1/artists/5UNNOclASewDrBreWb3P3Y,5UNNOclASewDrBreWb3P3Y,Atomic Baby,31,artist,2955
"['aesthetic rap', 'meme rap', 'sad lo-fi']",https://api.spotify.com/v1/artists/75RLThQWzIgIM7Jtp6KZic,75RLThQWzIgIM7Jtp6KZic,$atori Zoom,66,artist,68602
